key,en,es
nav.examples,Examples,Ejemplos
nav.features,Features,Características
nav.how,How it works,Cómo funciona
nav.faq,FAQ,Preguntas frecuentes
nav.blog,Blog,Blog
nav.home,Home,Inicio
nav.about,About,Acerca de
nav.contact,Contact,Contacto
common.loading,Loading...,Cargando...
common.error,Error,Error
common.success,Success,Éxito
common.failed,Failed,Error
common.imageFailedToLoad,Image failed to load,No se pudo cargar la imagen
common.imageUnavailable,Image unavailable,Imagen no disponible
common.lastUpdated,Last updated: {{date}},Última actualización: {{date}}
home.seoTitle,Image to Pixel Art Converter | Pixel Art Village,Image to Pixel Art Converter | Pixel Art Village
home.seoDescription,"Turn any photo into retro 8-bit pixel art with customizable palettes, instant preview, dithering controls, and secure in-browser processing—no signup required.","Turn any photo into retro 8-bit pixel art with customizable palettes, instant preview, dithering controls, and secure in-browser processing—no signup required."
navTitle.hero,Scroll to Home hero section,Scroll to Home hero section
navTitle.examples,Scroll to Pixel Art Examples,Scroll to Pixel Art Examples
navTitle.features,Scroll to Pixel Art Features,Scroll to Pixel Art Features
navTitle.how,Scroll to How Pixel Art Converter Works,Scroll to How Pixel Art Converter Works
navTitle.faq,Scroll to Pixel Art FAQ,Scroll to Pixel Art FAQ
navTitle.blog,Open Pixel Art Blog,Open Pixel Art Blog
cta.start,Start now,Empezar ahora
site.name,Pixel Art Village,Pixel Art Village
site.tagline,Online image generator • image to pixel converter • image palette maker • image processor • image editor,Generador de arte píxel en línea • creador de imagen • conversor
site.homeLinkAria,Pixel Art Village home,Inicio de Pixel Art Village
header.mainNav,Main navigation,Main navigation
header.userAvatarTitle,User avatar,User avatar
footer.tools,Tools,Herramientas
footer.formats,Formats,Formatos
footer.explore,Explore,Explorar
footer.community,Community,Comunidad
footer.terms,Terms,Términos
footer.privacy,Privacy,Privacidad
footer.about,About,Acerca de
footer.contact,Contact,Contacto
footer.github,GitHub,GitHub
footer.cta.ariaStart,Start image to pixel art in pixel art Village,Start image to pixel art in pixel art Village
footer.copy,© {{year}} pixel art Village. All rights reserved.,© {{year}} pixel art Village. All rights reserved.
footer.links.generator,Digital image converter and image generator with the palette,Generador de arte píxel con paleta
footer.links.converter,Image to pixel art converter with custom palette,Conversor de arte píxel con paleta personalizada
footer.links.imageToPixel,Image to pixel art with palettes,Imagen a arte píxel con paletas
footer.links.makePixelArt,Make / create pixel image visuals with the palette controls,Crear arte píxel con controles de paleta
footer.links.png2pixel,PNG to pixel art with the palette,PNG a arte píxel con paleta
footer.links.jpg2pixel,JPG to pixel art with custom palettes,JPG a arte píxel con paletas personalizadas
footer.links.img2pixel,IMG to pixel art with the palette options,IMG a arte píxel con opciones de paleta
footer.links.gridPreview,Pixel grid preview,Vista previa de cuadrícula de píxeles
footer.links.how,How it works,Cómo funciona
footer.links.start,Start in pixel art Village,Comenzar en pixel art Village
footer.links.tips,Tips & palettes,Consejos y paletas
footer.links.privacyLocal,Privacy & local processing,Privacidad y procesamiento local
blog.title,Blog,Blog
blog.subtitle,"Articles and updates about making pixel image visuals, tutorials, and new features.","Artículos y novedades sobre gráficos de imagen, tutoriales y funciones nuevas."
blog.back,Back to Blog,Volver al blog
blog.notFound.title,Post not found,Entrada no encontrada
blog.notFound.desc,The article you're looking for does not exist. Go back to the blog.,El artículo que buscas no existe. Vuelve al
consent.title,Privacy & Cookies,Privacidad y cookies
consent.desc,"We use cookies to operate this site and, if enabled, to show Google AdSense ads. You can accept or reject non‑essential cookies at any time.","Usamos cookies para operar este sitio y, si están habilitadas, para mostrar anuncios de Google AdSense. Puedes aceptar o rechazar las cookies no esenciales en cualquier momento."
consent.privacy,Privacy Policy,Política de privacidad
consent.andManage,and manage ad personalization at,y administrar la personalización de anuncios en
consent.accept,Accept all,Aceptar todo
consent.reject,Reject non‑essential,Rechazar no esenciales
consent.bannerLabel,Cookie consent dialog,Cookie consent dialog
consent.acceptLabel,Accept all cookies,Accept all cookies
consent.rejectLabel,Reject non-essential cookies,Reject non-essential cookies
tool.title,Image to Pixel Art Generator with Custom Palette,Creador y conversor de arte píxel en línea con paleta personalizada
tool.subtitle2,"adjustable pixel size and custom palettes. Perfect for sprites, icons, and retro game art with advanced palette options.","adjustable pixel size and custom palettes. Perfect for sprites, icons, and retro game art with advanced palette options."
