key,en,it
nav.examples,Examples,Esempi
nav.features,Features,Funzionalità
nav.how,How it works,Come funziona
nav.faq,FAQ,FAQ
nav.blog,Blog,Blog
nav.home,Home,Home
nav.about,About,Chi siamo
nav.contact,Contact,Contatti
common.loading,Loading...,Caricamento...
common.error,Error,Errore
common.success,Success,Successo
common.failed,Failed,Operazione non riuscita
common.imageFailedToLoad,Image failed to load,Impossibile caricare l'immagine
common.imageUnavailable,Image unavailable,Immagine non disponibile
common.lastUpdated,Last updated: {{date}},Ultimo aggiornamento: {{date}}
home.seoTitle,Image to Pixel Art Converter | Pixel Art Village,Image to Pixel Art Converter | Pixel Art Village
home.seoDescription,"Turn any photo into retro 8-bit pixel art with customizable palettes, instant preview, dithering controls, and secure in-browser processing—no signup required.","Turn any photo into retro 8-bit pixel art with customizable palettes, instant preview, dithering controls, and secure in-browser processing—no signup required."
navTitle.hero,Scroll to Home hero section,Scroll to Home hero section
navTitle.examples,Scroll to Pixel Art Examples,Scroll to Pixel Art Examples
navTitle.features,Scroll to Pixel Art Features,Scroll to Pixel Art Features
navTitle.how,Scroll to How Pixel Art Converter Works,Scroll to How Pixel Art Converter Works
navTitle.faq,Scroll to Pixel Art FAQ,Scroll to Pixel Art FAQ
navTitle.blog,Open Pixel Art Blog,Open Pixel Art Blog
cta.start,Start now,Inizia ora
site.name,Pixel Art Village,Pixel Art Village
site.tagline,Online image generator • image to pixel converter • image palette maker • image processor • image editor,Generatore di pixel art online • maker • convertitore
site.homeLinkAria,Pixel Art Village home,Pixel Art Village home
header.mainNav,Main navigation,Main navigation
header.userAvatarTitle,User avatar,User avatar
footer.tools,Tools,Strumenti
footer.formats,Formats,Formati
footer.explore,Explore,Esplora
footer.community,Community,Community
footer.terms,Terms,Termini
footer.privacy,Privacy,Privacy
footer.about,About,Chi siamo
footer.contact,Contact,Contatti
footer.github,GitHub,GitHub
footer.cta.ariaStart,Start image to pixel art in pixel art Village,Start image to pixel art in pixel art Village
footer.copy,© {{year}} pixel art Village. All rights reserved.,© {{year}} pixel art Village. All rights reserved.
footer.links.generator,Digital image converter and image generator with the palette,Generatore di pixel art
footer.links.converter,Image to pixel art converter with custom palette,Convertitore di pixel art
footer.links.imageToPixel,Image to pixel art with palettes,Immagine in pixel art
footer.links.makePixelArt,Make / create pixel image visuals with the palette controls,Crea pixel art
footer.links.png2pixel,PNG to pixel art with the palette,PNG in pixel art
footer.links.jpg2pixel,JPG to pixel art with custom palettes,JPG in pixel art
footer.links.img2pixel,IMG to pixel art with the palette options,IMG in pixel art
footer.links.gridPreview,Pixel grid preview,Anteprima griglia di pixel
footer.links.how,How it works,Come funziona
footer.links.start,Start in pixel art Village,Inizia su pixel art Village
footer.links.tips,Tips & palettes,Suggerimenti e palette
footer.links.privacyLocal,Privacy & local processing,Privacy e elaborazione locale
blog.title,Blog,Blog
blog.subtitle,"Articles and updates about making pixel image visuals, tutorials, and new features.","Articoli e novità sul pixel art, tutorial e nuove funzionalità."
blog.back,Back to Blog,Torna al blog
blog.notFound.title,Post not found,Articolo non trovato
blog.notFound.desc,The article you're looking for does not exist. Go back to the blog.,L'articolo che cerchi non esiste. Torna al blog.
consent.title,Privacy & Cookies,Privacy e cookie
consent.desc,"We use cookies to operate this site and, if enabled, to show Google AdSense ads. You can accept or reject non‑essential cookies at any time.","Usiamo i cookie per far funzionare questo sito e, se abilitato, mostrare annunci Google AdSense. Puoi accettare o rifiutare i cookie non essenziali in qualsiasi momento."
consent.privacy,Privacy Policy,Informativa sulla privacy
consent.andManage,and manage ad personalization at,e gestisci la personalizzazione degli annunci su
consent.accept,Accept all,Accetta tutto
consent.reject,Reject non‑essential,Rifiuta non essenziali
consent.bannerLabel,Cookie consent dialog,Cookie consent dialog
consent.acceptLabel,Accept all cookies,Accept all cookies
consent.rejectLabel,Reject non-essential cookies,Reject non-essential cookies
tool.title,Image to Pixel Art Generator with Custom Palette,Generatore e convertitore di pixel art online
tool.subtitle2,"adjustable pixel size and custom palettes. Perfect for sprites, icons, and retro game art with advanced palette options.","adjustable pixel size and custom palettes. Perfect for sprites, icons, and retro game art with advanced palette options."
tool.subtitle,"Image to Pixel Art Converter – Turn PNG or JPG image to pixel art with instant preview and the palette controls, with image to pixel conversion.","Piksela immagini nel browser: trasforma PNG/JPG in pixel art pulita e allineata alla griglia. Regola dimensione dei pixel e palette con anteprima immediata ed esporta risultati nitidi per sprite, icone o grafica retrò. Veloce, privato e gratuito con pixel art Village."
tool.dragOrClick,Drag your image here or,Trascina l’immagine qui oppure
tool.clickToChoose,click to choose,fai clic per scegliere
tool.supports,"Supports PNG, JPG, GIF — up to 10MB","Supporta PNG, JPG, GIF — fino a 10MB"
tool.chooseFile,Choose file,Scegli file
tool.preparing,Preparing image…,Preparazione dell'immagine…
tool.ariaUpload,Upload image (drag and drop or click to choose),Carica immagine (trascina e rilascia o clicca per scegliere)
tool.ariaChoose,Choose image file,Scegli file immagine
upload.selected,Selected file: {{name}},File selezionato: {{name}}
content.fallbackNotice,Content for this language is coming soon. Showing English for now.,Content for this language is coming soon. Showing English for now.
